rok,miejscowość,data,pm25_dobowe
2019,Warszawa,2019-05-04,14.9623509
2019,Warszawa,2019-05-05,6.421445769230769
2019,Warszawa,2019-05-06,7.743420111111111
2019,Warszawa,2019-05-07,14.585145944444443
2019,Warszawa,2019-05-08,16.85557098611111
2019,Warszawa,2019-05-09,12.08181476388889
2019,Warszawa,2019-05-10,24.315231097222224
2019,Warszawa,2019-05-11,22.840876534722224
2019,Warszawa,2019-05-12,18.486108395833334
2019,Warszawa,2019-05-13,8.815256868055556
2019,Warszawa,2019-05-14,11.044885715277779
2019,Warszawa,2019-05-15,17.5813785625
2019,Warszawa,2019-05-16,19.514184229166666
2019,Warszawa,2019-05-17,14.25415621527778
2019,Warszawa,2019-05-18,16.59138882638889
2019,Warszawa,2019-05-19,13.363905770833334
2019,Warszawa,2019-05-20,15.468171055555555
2019,Warszawa,2019-05-21,11.150754541666666
2019,Warszawa,2019-05-22,6.4456755347222225
2019,Warszawa,2019-05-23,17.690094083333335
2019,Warszawa,2019-05-24,12.563066307692308
2019,Warszawa,2019-05-25,13.852823819444446
2019,Warszawa,2019-05-26,12.277144222222223
2019,Warszawa,2019-05-27,13.169246839160838
2019,Warszawa,2019-05-28,15.373008458333333
2019,Warszawa,2019-05-29,7.724428104166667
2019,Warszawa,2019-05-30,6.861595201388889
2019,Warszawa,2019-05-31,12.123705847222222
2019,Warszawa,2019-06-01,12.2812193125
2019,Warszawa,2019-06-02,15.040379986111112
2019,Warszawa,2019-06-03,8.03155575
2019,Warszawa,2019-06-04,12.292711715277779
2019,Warszawa,2019-06-05,14.068626430555556
2019,Warszawa,2019-06-06,14.169017020833333
2019,Warszawa,2019-06-07,12.85808325
2019,Warszawa,2019-06-08,18.118713777777778
2019,Warszawa,2019-06-09,6.220971076388889
2019,Warszawa,2019-06-10,10.944029375
2019,Warszawa,2019-06-11,15.7390909375
2019,Warszawa,2019-06-12,14.436527555555557
2019,Warszawa,2019-06-13,16.1713126013986
2019,Warszawa,2019-06-14,13.088980291666665
2019,Warszawa,2019-06-15,16.129154236111113
2019,Warszawa,2019-06-16,14.647698340277778
2019,Warszawa,2019-06-17,6.943855
2019,Warszawa,2019-06-18,6.6196250999999995
2019,Warszawa,2019-06-19,12.878754825
2019,Warszawa,2019-06-20,13.463439266666667
2019,Warszawa,2019-06-21,12.665475930069931
2019,Warszawa,2019-06-22,6.939534972222223
2019,Warszawa,2019-06-23,4.3322300347222225
2019,Warszawa,2019-06-24,6.6653082253521125
